Lufttemperatur	Nedbør (1 t)	Actual Total Load [MW] - BZN|NO1	inflasjon
1,1	0,1	4582.0	2.9
1,1	0,3	4482.0	3.2
1,1	0,6	4421.0	3.2
0,9	0,9	4335.0	3.2
1,2	0,4	4304.0	3.2
1,1	1	4336.0	3.2
1,1	1	4509.0	3.2
1,3	0,8	4631.0	3.2
1,5	0	4716.0	3.2
1,6	0	4813.0	3.2
1,7	0	4962.0	3.2
1,6	0	5125.0	3.2
2	0	5218.0	3.2
2,2	0	5239.0	3.2
2	0	5254.0	3.2
2,4	0	5445.0	3.2
2,3	0	5476.0	3.2
2,3	0	5411.0	3.2
2,3	0	5367.0	3.2
2,2	0,4	5244.0	3.2
1,7	1,3	5139.0	3.2
1,4	0,6	5029.0	3.2
1,1	1,2	4812.0	3.2
1,6	0,3	4660.0	3.2
1,5	0	4498.0	3.2
1,4	0,1	4396.0	3.2
1,3	0	4297.0	3.2
1,1	0	4282.0	3.2
1	0	4303.0	3.2
1,1	0	4359.0	3.2
1	0	4523.0	3.2
0,5	0	4756.0	3.2
-0,9	0,1	5060.0	3.2
-1,6	0	5352.0	3.2
-2	0	5639.0	3.2
-2,6	0	5821.0	3.2
-2,8	0	5882.0	3.2
-2,8	0	5866.0	3.2
-3	0	5878.0	3.2
-3,4	0	5988.0	3.2
-3,4	0	6058.0	3.2
-3,5	0	6117.0	3.2
-3,7	0	6116.0	3.2
-4,1	0	5985.0	3.2
-4,5	0	5861.0	3.2
-4,8	0	5719.0	3.2
-5	0	5543.0	3.2
-5,3	0	5391.0	3.2
-5,4	0	5269.0	3.2
-5,5	0	5138.0	3.2
-5,6	0	5079.0	3.2
-5,6	0	5042.0	3.2
-5,7	0	5052.0	3.2
-5,7	0	5083.0	3.2
-5,7	0	5190.0	3.2
-5,7	0	5302.0	3.2
-5,8	0	5498.0	3.2
-5,8	0	5747.0	3.2
-5,7	0	6003.0	3.2
-5,7	0	6095.0	3.2
-5,5	0	6161.0	3.2
-5,5	0	6193.0	3.2
-5,5	0	6182.0	3.2
-5,7	0	6333.0	3.2
-6	0	6509.0	3.2
-6,1	0	6512.0	3.2
-6,2	0	6426.0	3.2
-6,3	0	6331.0	3.2
-6,4	0	6242.0	3.2
-6,5	0	6148.0	3.2
-6,9	0	5923.0	3.2
-6,9	0	5688.0	3.2
-6,9	0	5426.0	3.2
-7	0	5278.0	3.2
-7,1	0	5230.0	3.2
-7,2	0	5234.0	3.2
-7,2	0	5312.0	3.2
-7,3	0	5567.0	3.2
-7,1	0	6174.0	3.2
-7,2	0	6781.0	3.2
-6,9	0	6970.0	3.2
-7	0	7005.0	3.2
-7,1	0	7041.0	3.2
-7,2	0	7041.0	3.2
-7	0	7036.0	3.2
-7	0	7031.0	3.2
-7	0	7028.0	3.2
-7,1	0	7108.0	3.2
-7,3	0	7292.0	3.2
-7,4	0	7235.0	3.2
-7,7	0	7097.0	3.2
-7,8	0	6996.0	3.2
-7,7	0	6853.0	3.2
-7,7	0	6688.0	3.2
-8,3	0	6382.0	3.2
-8,3	0	6028.0	3.2
-8,3	0	5790.0	3.2
-8,3	0	5663.0	3.2
-8,3	0	5608.0	3.2
-8,1	0	5592.0	3.2
-8,2	0	5637.0	3.2
-8	0	5850.0	3.2
-8,1	0	6471.0	3.2
-7,8	0	7173.0	3.2
-7,6	0	7402.0	3.2
-7,4	0	7335.0	3.2
-7,2	0	7261.0	3.2
-6,8	0	7236.0	3.2
-6,8	0	7194.0	3.2
-6,6	0	7155.0	3.2
-6,5	0	7145.0	3.2
-6,7	0	7194.0	3.2
-7,3	0	7444.0	3.2
-7,3	0	7405.0	3.2
-7,2	0	7229.0	3.2
-7,4	0	7114.0	3.2
-8	0	7023.0	3.2
-9,1	0	6916.0	3.2
-8,3	0	6673.0	3.2
-8,4	0	6337.0	3.2
-9	0	6063.0	3.2
-9,9	0	5920.0	3.2
-10	0	5902.0	3.2
-11	0	5952.0	3.2
-11,3	0	6027.0	3.2
-11,6	0	6247.0	3.2
-11,4	0	6853.0	3.2
-11,9	0	7596.0	3.2
-11,8	0	7685.0	3.2
-12	0	7663.0	3.2
-11,3	0	7665.0	3.2
-10,6	0	7596.0	3.2
-10,1	0	7600.0	3.2
-10	0	7621.0	3.2
-10,2	0	7558.0	3.2
-10,5	0	7645.0	3.2
-11,2	0	7771.0	3.2
-11,8	0	7702.0	3.2
-11,9	0	7629.0	3.2
-12,4	0	7620.0	3.2
-12,5	0	7520.0	3.2
-12,8	0	7299.0	3.2
-13	0	7012.0	3.2
-12,7	0	6708.0	3.2
-12,8	0	6360.0	3.2
-12,8	0	6182.0	3.2
-12,1	0	6047.0	3.2
-12	0	6038.0	3.2
-12,1	0	6168.0	3.2
-12,3	0	6371.0	3.2
-12,4	0	6961.0	3.2
-12,6	0	7663.0	3.2
-13	0	7857.0	3.2
-12,9	0	7806.0	3.2
-12,8	0	7755.0	3.2
-12,7	0	7737.0	3.2
-12,2	0	7735.0	3.2
-11,6	0	7736.0	3.2
-12	0	7700.0	3.2
-12,5	0	7730.0	3.2
-12,3	0	7845.0	3.2
-12	0	7814.0	3.2
-11,8	0,1	7721.0	3.2
-11,3	0,1	7651.0	3.2
-10,9	0,1	7508.0	3.2
-10,7	0	7312.0	3.2
-10,3	0,1	7016.0	3.2
-10,3	0,1	6658.0	3.2
-10,4	0,2	6051.0	3.2
-10,3	0,2	5860.0	3.2
-10,2	0,2	5815.0	3.2
-10,1	0,1	5812.0	3.2
-10,1	0	5868.0	3.2
-10	0	6066.0	3.2
-9,8	0	6681.0	3.2
-9,4	0	7331.0	3.2
-9,2	0	7522.0	3.2
-9	0	7443.0	3.2
-8,6	0	7819.0	3.2
-8,4	0	7813.0	3.2
-7,8	0	7680.0	3.2
-7,9	0	7598.0	3.2
-8,1	0	7593.0	3.2
-8,1	0	7673.0	3.2
-8,1	0	7766.0	3.2
-8,5	0	7735.0	3.2
-8,7	0	7615.0	3.2
-8,5	0	7445.0	3.2
-8,3	0	7222.0	3.2
-8,3	0	6906.0	3.2
-8,4	0	6677.0	3.2
-8,6	0	6396.0	3.2
-8,6	0	6236.0	3.2
-8,7	0	6057.0	3.2
-8,4	0	5947.0	3.2
-8,5	0	5911.0	3.2
-8,7	0	5902.0	3.2
-8,8	0	5946.0	3.2
-8,8	0	6074.0	3.2
-9	0	6343.0	3.2
-9,1	0	6598.0	3.2
-9,2	0	6899.0	3.2
-9,2	0	7123.0	3.2
-9,2	0	7157.0	3.2
-9	0	7122.0	3.2
-8,8	0	7072.0	3.2
-8,8	0	7074.0	3.2
-8,7	0	7093.0	3.2
-8,9	0	7269.0	3.2
-9,1	0	7334.0	3.2
-9,1	0	7308.0	3.2
-9,3	0,1	7141.0	3.2
-9,3	0	6932.0	3.2
-9,2	0	6768.0	3.2
-9,4	0,1	6557.0	3.2
-9	0,1	6332.0	3.2
-8,9	0,1	6143.0	3.2
-8,4	0	6021.0	3.2
-8,8	0,4	5900.0	3.2
-8,6	0,4	5836.0	3.2
-8,3	0,3	5804.0	3.2
-8,3	1	5844.0	3.2
-8,2	1,6	5930.0	3.2
-7,7	0,2	6055.0	3.2
-7,4	0,3	6237.0	3.2
-7,2	0,1	6424.0	3.2
-7,1	0,7	6654.0	3.2
-6,9	1,5	6781.0	3.2
-6,5	1,2	6796.0	3.2
-6,2	1	6808.0	3.2
-5,6	0,2	6755.0	3.2
-5,3	0,3	6829.0	3.2
-4,3	0,1	6946.0	3.2
-4,5	0,1	6940.0	3.2
-3	0,1	6846.0	3.2
-2,7	0,1	6775.0	3.2
-2,4	0,1	6581.0	3.2
-2,4	0,2	6385.0	3.2
-1,9	0,1	6087.0	3.2
-1,5	0	5787.0	3.2
-1,1	0,1	5532.0	3.2
-1,1	0,1	5375.0	3.2
-1,4	0,5	5308.0	3.2
-1,5	0,7	5302.0	3.2
-1,2	0,3	5322.0	3.2
-1,2	0,2	5548.0	3.2
-1,4	0,3	6178.0	3.2
-1,4	0,3	6828.0	3.2
-1,4	0,3	6987.0	3.2
-1,5	0,2	6921.0	3.2
-1,3	0,2	6892.0	3.2
-1,3	0,2	6851.0	3.2
-1,1	0,1	6829.0	3.2
-1	0	6805.0	3.2
-1	0,1	6790.0	3.2
-1,1	0	6793.0	3.2
-1,3	0	6926.0	3.2
-1,4	0	6894.0	3.2
-1,4	0	6778.0	3.2
-1,3	0	6654.0	3.2
-1,3	0	6470.0	3.2
-1,3	0	6347.0	3.2
-1,4	0	5988.0	3.2
-1,5	0	5630.0	3.2
-1,5	0	5388.0	3.2
-1,9	0	5217.0	3.2
-2	0	5140.0	3.2
-2,1	0	5139.0	3.2
-2,1	0	5217.0	3.2
-2,4	0	5467.0	3.2
-2,4	0	6119.0	3.2
-2,5	0	6764.0	3.2
-2,6	0	6981.0	3.2
-2,7	0	6932.0	3.2
-2,9	0	6917.0	3.2
-2,9	0	6788.0	3.2
-2,8	0	6772.0	3.2
-2,7	0	6835.0	3.2
-2,8	0	6852.0	3.2
-3,1	0	6939.0	3.2
-3,3	0	7146.0	3.2
-3,5	0	7096.0	3.2
-3,7	0	6965.0	3.2
-3,8	0	6824.0	3.2
-3,9	0	6680.0	3.2
-4,1	0	6509.0	3.2
-4,4	0,1	6216.0	3.2
-4,6	0,1	5844.0	3.2
-4,9	0,1	5623.0	3.2
-5,3	0,2	5476.0	3.2
-5,4	0,1	5392.0	3.2
-5,7	0,1	5409.0	3.2
-5,6	0,1	5471.0	3.2
-5,5	0	5654.0	3.2
-5,4	0	6332.0	3.2
-5,5	0	6993.0	3.2
-5,2	0	7138.0	3.2
-5,4	0	7111.0	3.2
-5,4	0	7119.0	3.2
-5,5	0	7008.0	3.2
-5,7	0	6922.0	3.2
-6	0	6938.0	3.2
-6,1	0	7004.0	3.2
-6,5	0	7110.0	3.2
-7,6	0	7332.0	3.2
-8,4	0	7434.0	3.2
-10,2	0	7281.0	3.2
-10,1	0	7275.0	3.2
-10,1	0	7158.0	3.2
-11	0	7003.0	3.2
-10,7	0	6759.0	3.2
-11,2	0	6466.0	3.2
-11,9	0	6216.0	3.2
-13,2	0	6090.0	3.2
-13,2	0	6041.0	3.2
-13,8	0	6023.0	3.2
-13,6	0	6108.0	3.2
-13,4	0	6371.0	3.2
-11,4	0	7033.0	3.2
-12,1	0	7630.0	3.2
-12,2	0	7867.0	3.2
-12	0	7892.0	3.2
-12,3	0	7858.0	3.2
-11,7	0	7711.0	3.2
-10,3	0	7638.0	3.2
-8,8	0	7583.0	3.2
-9,2	0	7580.0	3.2
-10	0	7552.0	3.2
-11	0	7721.0	3.2
-11,8	0	7744.0	3.2
-12	0	7666.0	3.2
-12,4	0	7613.0	3.2
-13,3	0	7521.0	3.2
-13,5	0	7381.0	3.2
-14,4	0	7152.0	3.2
-14,4	0	6900.0	3.2
-15,1	0	6569.0	3.2
-14,5	0	6560.0	3.2
-14,6	0	6548.0	3.2
-15,1	0	6519.0	3.2
-15,8	0	6470.0	3.2
-15,3	0	6676.0	3.2
-16,2	0	7244.0	3.2
-15,7	0	7850.0	3.2
-16	0	8043.0	3.2
-15,6	0	8010.0	3.2
-14,8	0	7980.0	3.2
-12,6	0	7921.0	3.2
-11	0	7827.0	3.2
-11,3	0	7730.0	3.2
-10,7	0	7668.0	3.2
-11,1	0	7658.0	3.2
-10,6	0	7758.0	3.2
-10,9	0	7753.0	3.2
-10,7	0	7660.0	3.2
-9,8	0	7546.0	3.2
-9,5	0	7368.0	3.2
-9,4	0,1	7153.0	3.2
-9,3	0,4	6921.0	3.2
-9	0,6	6646.0	3.2
-8,8	0,5	6391.0	3.2
-8,3	0,2	6176.0	3.2
-8,2	0,3	6123.0	3.2
-8,1	0,2	6078.0	3.2
-7,7	0	6095.0	3.2
-7,7	0	6112.0	3.2
-7,3	0	6267.0	3.2
-7,4	0	6490.0	3.2
-7,5	0	6792.0	3.2
-8,5	0	7075.0	3.2
-9	0	7243.0	3.2
-9,4	0	7248.0	3.2
-8,8	0	7205.0	3.2
-7,4	0	7096.0	3.2
-7,8	0	7028.0	3.2
-8,6	0	7076.0	3.2
-9,8	0	7309.0	3.2
-11,5	0	7454.0	3.2
-11,6	0	7412.0	3.2
-12,2	0	7277.0	3.2
-12,6	0	7065.0	3.2
-12,3	0	6925.0	3.2
-11,4	0	6761.0	3.2
-12,2	0	6545.0	3.2
-11,9	0	6352.0	3.2
-11,4	0	6251.0	3.2
-11,9	0	6203.0	3.2
-12,1	0	6195.0	3.2
-12,1	0	6221.0	3.2
-13	0	6274.0	3.2
-13	0	6346.0	3.2
-13,9	0	6507.0	3.2
-13,6	0	6737.0	3.2
-14,3	0	7013.0	3.2
-13,1	0	7193.0	3.2
-10,4	0	7182.0	3.2
-9,2	0	7080.0	3.2
-7,9	0	6982.0	3.2
-7,9	0	6979.0	3.2
-8,5	0	7089.0	3.2
-9,8	0	7331.0	3.2
-11,9	0	7433.0	3.2
-12,4	0	7418.0	3.2
-13,1	0	7390.0	3.2
-12,5	0	7292.0	3.2
-14,2	0	7167.0	3.2
-12,2	0	6917.0	3.2
-11	0	6671.0	3.2
-11,7	0	6414.0	3.2
-11,9	0	6287.0	3.2
-12,7	0	6248.0	3.2
-12,2	0	6256.0	3.2
-12,3	0	6311.0	3.2
-12,1	0	6533.0	3.2
-12	0	7194.0	3.2
-12	0	7819.0	3.2
-11,5	0	7922.0	3.2
-10,8	0	7870.0	3.2
-10,4	0	7906.0	3.2
-9,9	0	7829.0	3.2
-9,5	0	7721.0	3.2
-9,4	0	7661.0	3.2
-9	0	7663.0	3.2
-8,8	0	7688.0	3.2
-9,1	0	7873.0	3.2
-10	0	7932.0	3.2
-10,9	0	7805.0	3.2
-10,9	0	7695.0	3.2
-11,5	0	7569.0	3.2
-12,5	0	7397.0	3.2
-12,9	0	7097.0	3.2
-13,2	0	6767.0	3.2
-12,7	0	6507.0	3.2
-12,8	0	6363.0	3.2
-12,5	0	6305.0	3.2
-13	0	6316.0	3.2
-13,2	0	6367.0	3.2
-13	0	6606.0	3.2
-13,5	0	7213.0	3.2
-13	0	7879.0	3.2
-12,7	0	8029.0	3.2
-13,4	0	7984.0	3.2
-12,7	0	7942.0	3.2
-10,4	0	7832.0	3.2
-9,5	0	7765.0	3.2
-8,6	0	7902.0	3.2
-8,2	0	7760.0	3.2
-9	0	7749.0	3.2
-9,3	0	7986.0	3.2
-9,5	0	7963.0	3.2
-9,6	0	7861.0	3.2
-9,7	0	7753.0	3.2
-9,7	0	7612.0	3.2
-10,9	0	7436.0	3.2
-11,3	0	7139.0	3.2
-12,3	0	6794.0	3.2
-12,1	0	6530.0	3.2
-12,8	0	6377.0	3.2
-13	0	6327.0	3.2
-13	0	6351.0	3.2
-13,3	0	6396.0	3.2
-13	0	6582.0	3.2
-12,8	0	7252.0	3.2
-13	0	7967.0	3.2
-11,9	0	8032.0	3.2
-11,3	0	7961.0	3.2
-11	0	7897.0	3.2
-7,8	0	7774.0	3.2
-6,6	0	7639.0	3.2
-5,5	0	7549.0	3.2
-5,3	0	7521.0	3.2
-6,2	0	7532.0	3.2
-7,1	0	7759.0	3.2
-8,6	0	7855.0	3.2
-9,8	0	7814.0	3.2
-10,1	0	7669.0	3.2
-11	0	7551.0	3.2
-11,6	0	7385.0	3.2
-11,9	0	7123.0	3.2
-12,1	0	6820.0	3.2
-12,2	0	6499.0	3.2
-12,5	0	6387.0	3.2
-13	0	6350.0	3.2
-12,7	0	6363.0	3.2
-12,9	0	6434.0	3.2
-12,8	0	6685.0	3.2
-12,9	0	7289.0	3.2
-13	0	7957.0	3.2
-12,5	0	8123.0	3.2
-12,7	0	8074.0	3.2
-11,6	0	8068.0	3.2
-9,6	0	7895.0	3.2
-7,3	0	7787.0	3.2
-6,3	0	7693.0	3.2
-6,2	0	7638.0	3.2
-7,2	0	7663.0	3.2
-7,7	0	7829.0	3.2
-9,3	0	7946.0	3.2
-11	0	7869.0	3.2
-11,2	0	7812.0	3.2
-11,3	0	7707.0	3.2
-12,2	0	7578.0	3.2
-12,7	0	7349.0	3.2
-13,5	0	7002.0	3.2
-13,8	0	6774.0	3.2
-14,5	0	6624.0	3.2
-14,5	0	6612.0	3.2
-15,2	0	6587.0	3.2
-15,3	0	6644.0	3.2
-15	0	6848.0	3.2
-13,4	0	7404.0	3.2
-12,6	0	8054.0	3.2
-11,7	0	8099.0	3.2
-11	0	8111.0	3.2
-10,6	0	8132.0	3.2
-9,9	0	8091.0	3.2
-9,3	0	8052.0	3.2
-8,9	0	8118.0	3.2
-9	0	7976.0	3.2
-9	0,2	7924.0	3.2
-8,6	0	7947.0	3.2
-8,3	0	7911.0	3.2
-8,3	0	7770.0	3.2
-7,4	0	7572.0	3.2
-6,6	0	7312.0	3.2
-6,6	0	7071.0	3.2
-5,7	0	6742.0	3.2
-5,1	0	6462.0	3.2
-5,2	0	6204.0	3.2
-4,2	0	6023.0	3.2
-3,8	0	5948.0	3.2
-3,7	0,2	5916.0	3.2
-3,5	0,5	5889.0	3.2
-3,4	0,2	5921.0	3.2
-3,4	1	6043.0	3.2
-3,5	1,1	6238.0	3.2
-3,5	0,4	6519.0	3.2
-3,2	0	6744.0	3.2
-3	0	6929.0	3.2
-2,8	0	6973.0	3.2
-2,4	0	6915.0	3.2
-2	0	6787.0	3.2
-1,7	0	6680.0	3.2
-1,7	0	6660.0	3.2
-1,9	0	6817.0	3.2
-1,9	0	6881.0	3.2
-1,8	0	6741.0	3.2
-1,8	0	6542.0	3.2
-1,7	0	6353.0	3.2
-2	0	6174.0	3.2
-2,1	0	5908.0	3.2
-2,2	0	5740.0	3.2
-2,1	0	5521.0	3.2
-2,1	0	5391.0	3.2
-2	0	5271.0	3.2
-2	0	5260.0	3.2
-2,1	0	5267.0	3.2
-2,4	0	5320.0	3.2
-2,4	0	5458.0	3.2
-2,6	0	5637.0	3.2
-3	0	5810.0	3.2
-3,3	0	6056.0	3.2
-3,2	0	6243.0	3.2
-3,2	0	6290.0	3.2
-3	0	6271.0	3.2
-3	0	6259.0	3.2
-3	0	6244.0	3.2
-2,8	0	6309.0	3.2
-2,7	0	6508.0	3.2
-2,6	0	6501.0	3.2
-2,9	0	6452.0	3.2
-2,9	0	6352.0	3.2
-2,4	0	6254.0	3.2
-2,3	0	6108.0	3.2
-2,4	0	5840.0	3.2
-2,3	0	5570.0	3.2
-2,2	0	5292.0	3.2
-2,1	0	5171.0	3.2
-1,9	0	5101.0	3.2
-2,2	0	5095.0	3.2
-2	0	5158.0	3.2
-1,9	0	5401.0	3.2
-1,8	0	6098.0	3.2
-1,5	0,2	6715.0	3.2
-1,4	0	6871.0	3.2
-1,3	0	6753.0	3.2
-1,1	0	6729.0	3.2
-0,7	0	6652.0	3.2
-0,9	0	6597.0	3.2
-0,5	0	6577.0	3.2
-0,2	0	6552.0	3.2
-0,2	0	6575.0	3.2
-0,7	0	6713.0	3.2
-0,7	0	6772.0	3.2
-0,7	0	6614.0	3.2
-0,6	0	6433.0	3.2
-0,2	0	6291.0	3.2
0,1	0	6060.0	3.2
0,6	0	5715.0	3.2
0,8	0,1	5349.0	3.2
1	0,2	5079.0	3.2
1,3	0,4	4899.0	3.2
1,6	0	4805.0	3.2
1,8	0	4768.0	3.2
1,9	0	4814.0	3.2
2	0	4982.0	3.2
2,2	0	5521.0	3.2
2,1	0	6167.0	3.2
1,7	0	6358.0	3.2
1,5	0	6326.0	3.2
1,5	0	6248.0	3.2
2,2	0	6093.0	3.2
2,7	0	6003.0	3.2
2,6	0	5989.0	3.2
3,1	0	6028.0	3.2
3,4	0	6103.0	3.2
2,6	0	6266.0	3.2
2,4	0,1	6333.0	3.2
2,8	0,2	6176.0	3.2
3,2	0	6066.0	3.2
3,4	0	5906.0	3.2
3,3	0	5721.0	3.2
3,7	0	5380.0	3.2
3,6	0,3	5037.0	3.2
3,4	0	4738.0	3.2
3,4	0	4546.0	3.2
3,7	0	4494.0	3.2
3,6	0	4473.0	3.2
3,6	0	4505.0	3.2
3,5	0	4702.0	3.2
3,5	0	5330.0	3.2
3,5	0	5879.0	3.2
3,9	0	5990.0	3.2
3,9	0	5895.0	3.2
4,2	0	5829.0	3.2
4	0	5745.0	3.2
4	0	5680.0	3.2
4,1	0	5608.0	3.2
4,1	0	5606.0	3.2
4,3	0	5649.0	3.2
4,2	0	5873.0	3.2
3,6	0	5952.0	3.2
3,5	0	5842.0	3.2
3,2	0,1	5741.0	3.2
2,8	0,2	5626.0	3.2
2,8	1,5	5481.0	3.2
2	2,8	5238.0	3.2
1,4	1,3	4920.0	3.2
1,6	0,3	4655.0	3.2
1,8	0,8	4514.0	3.2
1,7	1	4442.0	3.2
2,4	0,5	4458.0	3.2
2,4	0,3	4492.0	3.2
3,3	0,2	4676.0	3.2
3,7	0	5291.0	3.2
3,7	0	5934.0	3.2
3,7	0	6129.0	3.2
3,5	0	5953.0	3.2
2,9	0	5863.0	3.2
3,6	0	5665.0	3.2
5,4	0	5551.0	3.2
5,6	0	5440.0	3.2
5,9	0	5477.0	3.2
4,5	0	5594.0	3.2
4	0	5837.0	3.2
2,7	0	5979.0	3.2
2,7	0	5929.0	3.2
2,2	0	5823.0	3.2
2	0	5722.0	3.2
2,1	0	5602.0	3.2
1,6	0	5293.0	3.2
1,4	0	4964.0	3.2
1,4	0	4736.0	3.2
0,9	0	4578.0	3.2
0,5	0	4494.0	3.2
1,5	0	4415.0	3.2
3,1	0	4454.0	3.2
3,5	0	4602.0	3.2
3,7	0	5164.0	3.2
3,7	0	5779.0	3.2
3,6	0	5959.0	3.2
3,8	0	5869.0	3.2
3,9	0	5902.0	3.2
4,2	0	5822.0	3.2
4,4	0,1	5786.0	3.2
4,8	0	5729.0	3.2
5	0	5685.0	3.2
5,3	0	5565.0	3.2
5,3	0	5601.0	3.2
6,3	0	5703.0	3.2
4,7	0,1	5775.0	3.2
2,5	0,3	5581.0	3.2
4,2	0	5373.0	3.2
3,8	0	5208.0	3.2
3,9	0	4978.0	3.2
3,7	0	4791.0	3.2
3,3	0	4565.0	3.2
3,4	0	4421.0	3.2
3,2	0	4336.0	3.2
2,9	0	4288.0	3.2
3,3	0	4295.0	3.2
3,8	0	4346.0	3.2
3,7	0	4560.0	3.2
3,8	0	4695.0	3.2
3,9	0	4975.0	3.2
3,9	0	5251.0	3.2
3,3	0	5479.0	3.2
3,1	0	5506.0	3.2
3,1	0	5417.0	3.2
3,2	0	5334.0	3.2
3,4	0	5267.0	3.2
3,4	0	5293.0	3.2
2,9	0	5441.0	3.2
1,9	0	5681.0	3.2
1,5	0	5668.0	3.2
1,5	0	5557.0	3.2
0,3	0	5353.0	3.2
0,1	0	5191.0	3.2
-0,2	0	5038.0	3.2
-0,3	0	4876.0	3.2
-0,2	0	4631.0	3.2
0,2	0	4508.0	3.2
0,9	0	4424.0	3.2
1,1	0	4393.0	3.2
1,2	0	4420.0	3.2
1	0	4441.0	3.2
0,3	0	4586.0	3.2
0,1	0	4726.0	3.2
-0,1	0	4916.0	3.2
-1,4	0	5150.0	3.2
-0,6	0	5256.0	3.2
0,5	0	5249.0	3.2
2,2	0	5128.0	3.2
2,8	0	5025.0	3.2
4	0	5005.0	3.2
4,3	0	5039.0	3.2
3,9	0	5305.0	3.2
2,4	0	5602.0	3.2
1,2	0	5646.0	3.2
1,1	0	5627.0	3.2
-1,1	0	5596.0	3.2
-1,9	0	5486.0	3.2
-2,7	0	5264.0	3.2
-1,4	0	5019.0	3.2
-2,7	0	4872.0	3.2
-3,3	0	4798.0	3.3
-3,5	0	4794.0	3.3
-3,6	0	4835.0	3.3
-3,5	0	4909.0	3.3
-4	0	5205.0	3.3
-3,9	0	5862.0	3.3
-3,7	0	6590.0	3.3
-3,2	0	6734.0	3.3
-2,6	0	6647.0	3.3
-1,8	0	6593.0	3.3
-1,2	0	6506.0	3.3
-0,7	0	6556.0	3.3
-1,3	0,6	6580.0	3.3
-1	1,1	6524.0	3.3
0,1	0,7	6451.0	3.3
0,2	0,5	6519.0	3.3
0,1	0,6	6536.0	3.3
0,2	0,3	6371.0	3.3
0,4	0	6233.0	3.3
0,3	0	6102.0	3.3
0,3	0	5859.0	3.3
0,4	0	5560.0	3.3
0,2	0	5231.0	3.3
-0,1	0	4947.0	3.3
0,2	0	4773.0	3.3
0,2	0	4711.0	3.3
-0,4	0	4722.0	3.3
1,5	0	4759.0	3.3
0,1	0	4995.0	3.3
0,5	0	5610.0	3.3
0,6	0	6243.0	3.3
0,1	0	6327.0	3.3
0,5	0	6276.0	3.3
1,8	0	6183.0	3.3
2,4	0	6078.0	3.3
2,6	0	6013.0	3.3
2,7	0	5971.0	3.3
2,9	0	5999.0	3.3
3	0	5988.0	3.3
3,4	0	6110.0	3.3
2,8	0,3	6183.0	3.3
3,1	0,4	6055.0	3.3
2,7	0,4	5950.0	3.3
2,3	0,2	5820.0	3.3
2,4	0	5646.0	3.3
2,8	0	5322.0	3.3
2,2	0	4987.0	3.3
2,1	0	4701.0	3.3
2	0	4594.0	3.3
1,8	0	4574.0	3.3
2,3	0	4593.0	3.3
2,4	0	4649.0	3.3
1,5	0	4872.0	3.3
-0,2	0	5575.0	3.3
0	0	6292.0	3.3
0,4	0	6480.0	3.3
-1,2	0	6430.0	3.3
-1,1	0	6224.0	3.3
0,6	0	5988.0	3.3
2,9	0	5842.0	3.3
3,5	0	5733.0	3.3
3,5	0	5666.0	3.3
3,5	0	5661.0	3.3
3,9	0	5880.0	3.3
1,3	0	6130.0	3.3
0	0	6055.0	3.3
1,2	0	5987.0	3.3
-0,5	0	5903.0	3.3
-1	0	5748.0	3.3
-1,8	0	5500.0	3.3
-2,3	0	5242.0	3.3
-3,6	0	5036.0	3.3
-3,1	0	4943.0	3.3
-3,5	0	4895.0	3.3
-3,7	0	4918.0	3.3
-4,8	0	4986.0	3.3
-3,1	0	5198.0	3.3
-3,4	0	5853.0	3.3
-3,6	0	6627.0	3.3
-2,7	0	6687.0	3.3
-2,5	0	6559.0	3.3
-1,4	0	6443.0	3.3
-0,8	0	6279.0	3.3
2,4	0	6074.0	3.3
3,5	0	5880.0	3.3
3,8	0	5821.0	3.3
4,2	0	5815.0	3.3
3,5	0	6056.0	3.3
1,9	0	6367.0	3.3
0,3	0	6342.0	3.3
-0,1	0	6271.0	3.3
-0,3	0	6174.0	3.3
-1,7	0	6034.0	3.3
-2,5	0	5733.0	3.3
-1,8	0	5398.0	3.3
-0,3	0	5179.0	3.3
-2,5	0	5057.0	3.3
-1,7	0	4992.0	3.3
-1,2	0	5014.0	3.3
-2,4	0	5054.0	3.3
-3,7	0	5287.0	3.3
-3,3	0	5959.0	3.3
-3,2	0	6692.0	3.3
-3	0	6770.0	3.3
-2,6	0	6722.0	3.3
-2,1	0	6655.0	3.3
-0,9	0	6486.0	3.3
0,3	0	6366.0	3.3
0,7	0	6260.0	3.3
0,6	0	6231.0	3.3
0,8	0	6222.0	3.3
0,3	0	6368.0	3.3
-1,5	0,5	6555.0	3.3
-1,4	1,6	6428.0	3.3
-1	0,9	6254.0	3.3
-0,7	0,8	6011.0	3.3
-0,6	1,1	5749.0	3.3
-0,4	0,8	5489.0	3.3
-0,1	0,6	5194.0	3.3
0,2	0,2	4944.0	3.3
0,7	0,2	4748.0	3.3
0,8	0,1	4658.0	3.3
1	0,2	4622.0	3.3
1,1	0,3	4591.0	3.3
1,6	0,2	4632.0	3.3
1,7	0,4	4736.0	3.3
3	0,1	4880.0	3.3
3,6	0	5113.0	3.3
4,3	0	5401.0	3.3
4,4	0,2	5528.0	3.3
4,4	0	5536.0	3.3
4,6	0	5492.0	3.3
4,3	0	5353.0	3.3
4,5	0	5243.0	3.3
4,6	0	5250.0	3.3
4,2	0	5367.0	3.3
3,9	0	5588.0	3.3
4,1	0	5519.0	3.3
3,5	0	5386.0	3.3
